DACS-SF-2019-00001-P,"PCP-DA: Clinics & Seminars, and Structured Apprenticeship & Mentoring (SF)"
ACP-2019-00001-P,NICF- PMI Agile Certified Practitioner (PMI-ACP)® Preparatory Course
ACP-SF-2019-00001-P,NICF- PMI Agile Certified Practitioner (PMI-ACP)® Preparatory Course (SF)
BPR-2019-00006-P,NICF- Business Process Reengineering
BPR-SF-2019-00001-P,NICF- Business Process Reengineering  (SF)
DMS-2019-00001-P,NICF- Designing Cloud-enabled Mobile Applications
DMS-SF-2019-00002-P,NICF- Designing Cloud-enabled Mobile Applications (SF)
MBAP-2019-00007-P,NICF- Managing Business Analytics Projects
RCS-2019-00001-P,NICF- Recommender Systems (SF)
UXD-2017-00007-P,NICF- Digital User Experience Design
UXD-SF-2019-00001-P,NICF- Digital User Experience Design (SF)
SNMF-12698,"Security, Notification and Messaging Fundamentals"
SNMF-SF-2019-00001-P,NICF- Security Notification and Messaging Fundamentals (SF)
DST-2019-00026-P,NICF- Data Storytelling
DST-SF-2019-00007-P,NICF- Data Storytelling (SF)
TA-SF-2019-00010-P,NICF- Text Analytics (SF)
WA-2019-00001-P,NICF- Web Analytics & SEO
WA-SF-2019-00001-P,NICF- Web Analytics and SEO (SF)
CEITA-SF-QZ-2019-00001,CEITA-Quiz-QZ
MBAP-SF-2019-00008-P,NICF- Managing Business Analytics Projects (SF)
CIY-2019-00006-P,The Coder in You
SB-2019-00003-P,NICF- Statistics Bootcamp
SB-SF-2019-00003-P,NICF- Statistics Bootcamp (SF)
CLESSP-2019-00001-P,NICF- Certified LeSS Practitioner - Principles to Practices
CLESSP-SF-2019-00001-P,NICF- Certified LeSS Practitioner - Principles to Practices (SF)
CSCRUM-2019-00008-P,NICF- Certified ScrumMaster
CSCRUM-SF-2019-00002-P,NICF- Certified ScrumMaster (SF)
SSDLA-SF-2019-00003-P,NICF- Secure Software Development Lifecycle for Agile (SF)
ISSM-2019-00001-P,NICF- Intelligent Sensing and Sense Making (SF)
MXD-2019-00001-P,NICF- Mobile User Experience Design
MXD-SF-2019-00001-P,NICF- Mobile User Experience Design  (SF)
SSDLA-SF-WS-2019-00003,SSDLA-Assessment-WS
CA-SF-2019-00010-P,NICF- Customer Analytics (SF)
CA-SF-2019-00011-P,NICF- Customer Analytics (SF)
ITSM-2019-00001-P,NICF- ITIL® Foundation Certificate in IT Service Management
ITSM-SF-2019-00001-P,NICF- ITIL® Foundation Certificate in IT Service Management (SF)
DOEA-WS-2019-00005,DevOps Engineering and Automation
CGS-2019-00002-P,Cognitive Systems
MBAP-2019-00009-P,NICF- Managing Business Analytics Projects
MBAP-SF-2019-00010-P,NICF- Managing Business Analytics Projects (SF)
DFEML-2019-00002-P,NICF- Data and Feature Engineering for Machine Learning (SF)
MLDDS-2019-00002-P,Machine Learning driven Data Science
DSL-2019-00001-P,NICF- Digital Strategy & Leadership
PE-2019-00005-P,NICF- Platform Engineering (SF)
PE-2019-00003-P,NICF- Platform Engineering (SF)
PYDOT-2019-00015-P,"Python for Data, Ops and Things"
PYDOT-SF-2019-00005-P,"NICF- Python for Data, Ops and Things (SF)"
CSADL-2019-00001-P,NICF- Cybersecurity Risk Awareness
CSADL-SF-2019-00001-P,NICF- Cybersecurity Risk Awareness (SF)
BAAP-2019-00005-P,NICF- Business Analysis for Agile Practitioners
BAAP-SF-2019-00002-P,NICF- Business Analysis for Agile Practitioners (SF)
SFB-2019-00002-P,NICF- Statistics for Business
SFB-SF-2019-00002-P,NICF- Statistics for Business (SF)
PMIS-2019-00001-P,NICF- Project Management for IT
BEAD-2019-00004-P,NICF- Big Data Engineering for Analytics
BEAD-SF-2019-00003-P,NICF- Big Data Engineering for Analytics (SF)
SB-2019-00004-P,NICF- Statistics Bootcamp
SB-SF-2019-00004-P,NICF- Statistics Bootcamp (SF)
SPMR-2019-00001-P,NICF- Strategic Product Manager™
SPMR-SF-2019-00003-P,NICF- Strategic Product Manager ™ (SF)
CSF-2019-00001-P,Client Side Foundation
CSF-SF-2019-00001-P,NICF- Client Side Foundation (SF)
CSCRUM-2019-00012-P,NICF- Certified ScrumMaster
CSCRUM-SF-2019-00003-P,NICF- Certified ScrumMaster (SF)
DFEML-WS-2019-00002,NICF- Data and Feature Engineering for Machine Learning (SF)
HA-2019-00002-P,NICF- Health Analytics (SF)
PRINCE2-2019-00001-P,NICF- PRINCE2® (Projects IN Controlled Environments) - Foundation and Practitioner Certificate
PRINCE2-SF-2019-00001-P,NICF- PRINCE2® (PRojects IN Controlled Environments) - Foundation and Practitioner Certificate (SF)
SUMML-2019-00002-P,NICF- Supervised and Unsupervised Modeling with Machine Learning (SF)
