Reference No,title,Duration,Instructors
[' CRS-Q-0034785-ICT '],NICF- Data Storytelling  (SF),[' 3 days '],"['Mr. Brandon NG ', 'Ms. Catherine KHAW', 'Dr. Kate LAZARENKO', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Prakash Chandra SUKHWAL', 'Mr. Rajnish TULI', 'Ms. Tamsin Emma Maria GREULICH-SMITH', 'Dr. TAN Jen Hong']"
[' CRS-Q-0035990-ICT '],NICF- Certified ScrumMaster  (SF),[' 3 days '],['Mr. Pete DEEMER']
[' CRS-Q-0036099-ICT '],NICF- Data Driven Decision Making  (SF),[' 1 day '],"['Mr. Nirmal Raja PALAPARTHI ', 'Ms. Catherine KHAW', 'Dr. LEONG Mun Kew']"
[' CRS-Q-0036098-ICT '],NICF- Innovation Bootcamp  (SF),[' 1 day '],"['Ms. LIM Wee Khee ', 'Mr. Alvin CHIA ', 'Mr. Joshua TEO', 'Mr. Reuben PNG', 'Ms. Vivien CHAN']"
[' CRS-Q-0036793-ICT '],NICF- PRINCE2 (PRojects IN Controlled Environments) - Foundation and Practitioner Certificate  (SF),[' 5 days '],"['Mr. Harold Petersen', 'Mr. Jamie Donoghue']"
[' CRS-Q-0034778-ICT '],NICF- Cybersecurity Risk Awareness  (SF),[' 1 day '],"['Mrs. TAN Lay Ngan', 'Mr. TAN Peng Wei']"
[' CRS-Q-0034800-ICT '],NICF- Business Process Reengineering  (SF),[' 3 days '],"['Mr. YU Chen Kuang ', 'Dr. HOE Siu Loon', 'Ms. Tamsin Emma Maria GREULICH-SMITH']"
[' CRS-Q-0035468-ICT '],NICF- Architecting IOT Solutions  (SF),[' 4 days '],['Mr. NG Kok Leong']
[' CRS-Q-0036092-ICT '],NICF- Statistics Bootcamp  (SF),[' 5 days '],"['Mr. Charles PANG ', 'Ms. Catherine KHAW', 'Mr. Eric THAM', 'Mr. GU Zhan ', 'Mr. Neumann CHEW', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Prakash Chandra SUKHWAL', 'Dr. Rita CHAKRAVARTI', 'Dr. TAN Jen Hong']"
[' CRS-Q-0036474-ICT '],NICF- Data and Feature Engineering for Machine Learning  (SF),[' 7 days '],['Ms. Lisa ONG']
[' CRS-Q-0036483-ICT '],NICF- Managing Business Analytics Projects  (SF),[' 3 days '],"['Mr. Daniel BOEY ', 'Ms. Catherine KHAW', 'Mr. Nirmal Raja PALAPARTHI', 'Mr. Richard TAN ']"
